1720	130-2	0
1977	135-1	0
2265	140-1	0
2531	147-1	0
2756	150-1	0
3193	157-4	0
3566	161-4	0
3656	163-3	0
4001	168-2	0
4475	175-1	0
4572	177-2	0
4866	181-3	0
5191	187-3	0
5427	192-2	0
5563	195-2	0
5575	195-3	0
5744	198-4	0
5783	199-3	0
6324	26-4	0
6774	32-2	0
6822	32-5	0
6895	34-1	0
7018	35-6	0
7048	36-4	0
7228	4-2	0
7279	4-5	0
7462	43-2	0
7490	43-4	0
7778	49-4	0
8189	54-5	0
8202	54-6	0
8304	55-6	0
8388	57-4	0
8540	6-5	0
8833	64-4	0
8873	65-2	0
8925	65-6	0
9357	73-1	0
9660	78-3	0
9803	8-3	0
9933	82-2	0
9991	83-3	0
10173	87-3	0
11006	99-4	0
11038	99-6	0
